stationName,code,stateName,countryName,zoneRuleLocal,zoneRuleCrossState,etaHoursLocal,etaHoursCrossState
Calabar Municipal,CR-CALABA-0176,Cross River,Nigeria,Zone 1,Zone 4,6,24
Calabar South,CR-CALABA-0177,Cross River,Nigeria,Zone 1,Zone 4,6,24
Etung,CR-ETUNG-0178,Cross River,Nigeria,Zone 1,Zone 4,6,24
Ikom,CR-IKOM-0179,Cross River,Nigeria,Zone 1,Zone 4,6,24
Obanliku,CR-OBANLI-0180,Cross River,Nigeria,Zone 1,Zone 4,6,24
Obubra,CR-OBUBRA-0181,Cross River,Nigeria,Zone 1,Zone 4,6,24
Obudu,CR-OBUDU-0182,Cross River,Nigeria,Zone 1,Zone 4,6,24
Odukpani,CR-ODUKPA-0183,Cross River,Nigeria,Zone 1,Zone 4,6,24
Ogoja,CR-OGOJA-0184,Cross River,Nigeria,Zone 1,Zone 4,6,24
Yakurr,CR-YAKURR-0185,Cross River,Nigeria,Zone 1,Zone 4,6,24
Yala,CR-YALA-0186,Cross River,Nigeria,Zone 1,Zone 4,6,24
Aniocha North,DE-ANIOCH-0187,Delta,Nigeria,Zone 1,Zone 4,6,24
Aniocha South,DE-ANIOCH-0188,Delta,Nigeria,Zone 1,Zone 4,6,24
Bomadi,DE-BOMADI-0189,Delta,Nigeria,Zone 1,Zone 4,6,24
Burutu,DE-BURUTU-0190,Delta,Nigeria,Zone 1,Zone 4,6,24
Ethiope East,DE-ETHIOP-0191,Delta,Nigeria,Zone 1,Zone 4,6,24
Ethiope West,DE-ETHIOP-0192,Delta,Nigeria,Zone 1,Zone 4,6,24
Ika North East,DE-IKANO-0193,Delta,Nigeria,Zone 1,Zone 4,6,24
Ika South,DE-IKASO-0194,Delta,Nigeria,Zone 1,Zone 4,6,24
Isoko North,DE-ISOKO-0195,Delta,Nigeria,Zone 1,Zone 4,6,24
Isoko South,DE-ISOKO-0196,Delta,Nigeria,Zone 1,Zone 4,6,24
Ndokwa East,DE-NDOKWA-0197,Delta,Nigeria,Zone 1,Zone 4,6,24
Ndokwa West,DE-NDOKWA-0198,Delta,Nigeria,Zone 1,Zone 4,6,24
Okpe,DE-OKPE-0199,Delta,Nigeria,Zone 1,Zone 4,6,24
Oshimili North,DE-OSHIMI-0200,Delta,Nigeria,Zone 1,Zone 4,6,24
Oshimili South,DE-OSHIMI-0201,Delta,Nigeria,Zone 1,Zone 4,6,24
Patani,DE-PATANI-0202,Delta,Nigeria,Zone 1,Zone 4,6,24
Sapele,DE-SAPELE-0203,Delta,Nigeria,Zone 1,Zone 4,6,24
Udu,DE-UDU-0204,Delta,Nigeria,Zone 1,Zone 4,6,24
Ughelli North,DE-UGHELL-0205,Delta,Nigeria,Zone 1,Zone 4,6,24
Ughelli South,DE-UGHELL-0206,Delta,Nigeria,Zone 1,Zone 4,6,24
Ukwuani,DE-UKWUAN-0207,Delta,Nigeria,Zone 1,Zone 4,6,24
Uvwie,DE-UVWIE-0208,Delta,Nigeria,Zone 1,Zone 4,6,24
Warri North,DE-WARRI-0209,Delta,Nigeria,Zone 1,Zone 4,6,24
Warri South,DE-WARRI-0210,Delta,Nigeria,Zone 1,Zone 4,6,24
Warri South West,DE-WARRI-0211,Delta,Nigeria,Zone 1,Zone 4,6,24
Abakaliki,EB-ABAKAL-0212,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Afikpo North,EB-AFIKPO-0213,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Afikpo South,EB-AFIKPO-0214,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ebonyi,EB-EBONYI-0215,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ezza North,EB-EZZAN-0216,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ezza South,EB-EZZAS-0217,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ishielu,EB-ISHIEL-0218,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ivo,EB-IVO-0219,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Izzi,EB-IZZI-0220,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ohaozara,EB-OHAOZA-0221,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ohaukwu,EB-OHAUKW-0222,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Onicha,EB-ONICHA-0223,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Ikwo,EB-IKWO-0224,Ebonyi,Nigeria,Zone 1,Zone 4,6,24
Akoko Edo,ED-AKOKO-0225,Edo,Nigeria,Zone 1,Zone 4,6,24
Egor,ED-EGOR-0226,Edo,Nigeria,Zone 1,Zone 4,6,24
Esan Central,ED-ESANC-0227,Edo,Nigeria,Zone 1,Zone 4,6,24
Esan North East,ED-ESANN-0228,Edo,Nigeria,Zone 1,Zone 4,6,24
Esan South East,ED-ESANS-0229,Edo,Nigeria,Zone 1,Zone 4,6,24
Esan West,ED-ESANW-0230,Edo,Nigeria,Zone 1,Zone 4,6,24
Etsako Central,ED-ETSAKO-0231,Edo,Nigeria,Zone 1,Zone 4,6,24
Etsako East,ED-ETSAKO-0232,Edo,Nigeria,Zone 1,Zone 4,6,24
Etsako West,ED-ETSAKO-0233,Edo,Nigeria,Zone 1,Zone 4,6,24
Igueben,ED-IGUEBE-0234,Edo,Nigeria,Zone 1,Zone 4,6,24
Ikpoba Okha,ED-IKPOBA-0235,Edo,Nigeria,Zone 1,Zone 4,6,24
Oredo,ED-OREDO-0236,Edo,Nigeria,Zone 1,Zone 4,6,24
Orhionmwon,ED-ORHION-0237,Edo,Nigeria,Zone 1,Zone 4,6,24
Ovia North East,ED-OVIAN-0238,Edo,Nigeria,Zone 1,Zone 4,6,24
Ovia South West,ED-OVIAS-0239,Edo,Nigeria,Zone 1,Zone 4,6,24
Owan East,ED-OWANE-0240,Edo,Nigeria,Zone 1,Zone 4,6,24
Owan West,ED-OWANW-0241,Edo,Nigeria,Zone 1,Zone 4,6,24
Uhunmwonde,ED-UHUNMW-0242,Edo,Nigeria,Zone 1,Zone 4,6,24
Ado-Ekiti,EK-ADOEK-0243,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Efon,EK-EFON-0244,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ekiti East,EK-EKITI-0245,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ekiti South West,EK-EKITI-0246,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ekiti West,EK-EKITI-0247,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Emure,EK-EMURE-0248,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Gbonyin,EK-GBONYI-0249,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ido-Osi,EK-IDOOS-0250,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ijero,EK-IJERO-0251,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ikere,EK-IKERE-0252,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ikole,EK-IKOLE-0253,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ilejemeje,EK-ILEJEM-0254,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Irepodun/Ifelodun,EK-IREPOD-0255,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Ise/Orun,EK-ISEOR-0256,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Moba,EK-MOBA-0257,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Oye,EK-OYE-0258,Ekiti,Nigeria,Zone 1,Zone 4,6,24
Aninri,EN-ANINRI-0259,Enugu,Nigeria,Zone 1,Zone 4,6,24
Awgu,EN-AWGU-0260,Enugu,Nigeria,Zone 1,Zone 4,6,24
Enugu East,EN-ENUGU-0261,Enugu,Nigeria,Zone 1,Zone 4,6,24
Enugu North,EN-ENUGU-0262,Enugu,Nigeria,Zone 1,Zone 4,6,24
Enugu South,EN-ENUGU-0263,Enugu,Nigeria,Zone 1,Zone 4,6,24
Ezeagu,EN-EZEAGU-0264,Enugu,Nigeria,Zone 1,Zone 4,6,24
Igbo Etiti,EN-IGBOE-0265,Enugu,Nigeria,Zone 1,Zone 4,6,24
Igbo Eze North,EN-IGBOE-0266,Enugu,Nigeria,Zone 1,Zone 4,6,24
Igbo Eze South,EN-IGBOE-0267,Enugu,Nigeria,Zone 1,Zone 4,6,24
Isi-Uzo,EN-ISIUZ-0268,Enugu,Nigeria,Zone 1,Zone 4,6,24
Nkanu East,EN-NKANU-0269,Enugu,Nigeria,Zone 1,Zone 4,6,24
Nkanu West,EN-NKANU-0270,Enugu,Nigeria,Zone 1,Zone 4,6,24
Nsukka,EN-NSUKKA-0271,Enugu,Nigeria,Zone 1,Zone 4,6,24
Oji-River,EN-OJIRI-0272,Enugu,Nigeria,Zone 1,Zone 4,6,24
Udenu,EN-UDENU-0273,Enugu,Nigeria,Zone 1,Zone 4,6,24
Udi,EN-UDI-0274,Enugu,Nigeria,Zone 1,Zone 4,6,24
Uzo-Uwani,EN-UZOUW-0275,Enugu,Nigeria,Zone 1,Zone 4,6,24
Abaji,FC-ABAJI-0276,Federal Capital Territory,Nigeria,Zone 1,Zone 4,6,24
Abuja,FC-ABUJA-0277,Federal Capital Territory,Nigeria,Zone 1,Zone 4,6,24
Bwari,FC-BWARI-0278,Federal Capital Territory,Nigeria,Zone 1,Zone 4,6,24
Gwagwalada,FC-GWAGWA-0279,Federal Capital Territory,Nigeria,Zone 1,Zone 4,6,24
Kuje,FC-KUJE-0280,Federal Capital Territory,Nigeria,Zone 1,Zone 4,6,24
Kwali,FC-KWALI-0281,Federal Capital Territory,Nigeria,Zone 1,Zone 4,6,24
Akko,GO-AKKO-0282,Gombe,Nigeria,Zone 1,Zone 4,6,24
Balanga,GO-BALANG-0283,Gombe,Nigeria,Zone 1,Zone 4,6,24
Billiri,GO-BILLIR-0284,Gombe,Nigeria,Zone 1,Zone 4,6,24
Dukku,GO-DUKKU-0285,Gombe,Nigeria,Zone 1,Zone 4,6,24
Funakaye,GO-FUNAKA-0286,Gombe,Nigeria,Zone 1,Zone 4,6,24
Gombe,GO-GOMBE-0287,Gombe,Nigeria,Zone 1,Zone 4,6,24
Kaltungo,GO-KALTUN-0288,Gombe,Nigeria,Zone 1,Zone 4,6,24
Kwami,GO-KWAMI-0289,Gombe,Nigeria,Zone 1,Zone 4,6,24
Nafada,GO-NAFADA-0290,Gombe,Nigeria,Zone 1,Zone 4,6,24
Shongom,GO-SHONGO-0291,Gombe,Nigeria,Zone 1,Zone 4,6,24
Yamaltu/Deba,GO-YAMALT-0292,Gombe,Nigeria,Zone 1,Zone 4,6,24
Aboh Mbaise,IM-ABOHM-0293,Imo,Nigeria,Zone 1,Zone 4,6,24
Ahiazu Mbaise,IM-AHIAZU-0294,Imo,Nigeria,Zone 1,Zone 4,6,24
Ehime Mbano,IM-EHIME-0295,Imo,Nigeria,Zone 1,Zone 4,6,24
Ezinihitte Mbaise,IM-EZINIH-0296,Imo,Nigeria,Zone 1,Zone 4,6,24
Ideato North,IM-IDEATO-0297,Imo,Nigeria,Zone 1,Zone 4,6,24
Ideato South,IM-IDEATO-0298,Imo,Nigeria,Zone 1,Zone 4,6,24
Ihitte/Uboma,IM-IHITTE-0299,Imo,Nigeria,Zone 1,Zone 4,6,24
Ikeduru,IM-IKEDUR-0300,Imo,Nigeria,Zone 1,Zone 4,6,24
Isiala Mbano,IM-ISIALA-0301,Imo,Nigeria,Zone 1,Zone 4,6,24
Isu,IM-ISU-0302,Imo,Nigeria,Zone 1,Zone 4,6,24
Mbaitoli,IM-MBAITO-0303,Imo,Nigeria,Zone 1,Zone 4,6,24
Ngor Okpala,IM-NGORO-0304,Imo,Nigeria,Zone 1,Zone 4,6,24
Njaba,IM-NJABA-0305,Imo,Nigeria,Zone 1,Zone 4,6,24
